Community	Target(unknown)	Annotated	Functions
C5	Zm00001eb026310	Zm00001eb026300.Zm00001eb302980.Zm00001eb224960.Zm00001eb005820.Zm00001eb351780.Zm00001eb352550	small molecule metabolic process.organophosphate metabolic process.primary metabolic process.carbohydrate derivative metabolic process.chloroplast stroma.plastid stroma.metabolic process.cellular process.biological_process.cellular anatomical structure
C5	Zm00001eb251980	Zm00001eb422860.Zm00001eb402750	
C5	Zm00001eb124590	Zm00001eb220610	
C5	Zm00001eb182780	Known	primary metabolic process.root hair elongation.epidermal cell differentiation.anatomical structure formation involved in morphogenesis.GTP cyclohydrolase II activity.chloroplast stroma.riboflavin biosynthetic process.membrane.3,4-dihydroxy-2-butanone-4-phosphate synthase activity.animal organ development
C5	Zm00001eb382040	Known	primary metabolic process.chloroplast envelope.Unknown.signaling.response to stimulus.regulation of cellular process.Unknown.membrane.animal organ development
C5	Zm00001eb118440		
C5	Zm00001eb027100	Zm00001eb434490.Zm00001eb296290.Zm00001eb053210.Zm00001eb162400.Zm00001eb334790	
C5	Zm00001eb179310	Known	cytosol.vesicle-mediated transport.regulation of biological process.late endosome.biosynthetic process.membrane.nucleic acid metabolic process.response to stress.guanyl-nucleotide exchange factor activity.Unknown.lysosome.kinase activity
C5	Zm00001eb158260	Known	extracellular region.cell wall.Unknown.vacuole.hydrolase activity, acting on ester bonds.regulation of plant-type hypersensitive response.signaling.response to other organism.protein targeting to membrane.Unknown.positive regulation of flavonoid biosynthetic process.DNA integration.response to stress.regulation of phenylpropanoid metabolic process.lipid catabolic process.positive regulation of secondary metabolite biosynthetic process.membrane.response to hormone
C5	Zm00001eb257490	Known	membrane.active transmembrane transporter activity.cellular process.plasma membrane.amino acid transmembrane transport.amine transmembrane transporter activity.amine transport.amino acid transmembrane transporter activity.vacuolar membrane
C5	Zm00001eb388690	Known	membrane.endosome.mitochondrion.Unknown.plant-type cell wall.N-terminal protein myristoylation.plasma membrane.trans-Golgi network.signaling receptor activity.transport.binding.vacuolar membrane
C5	Zm00001eb005420	Zm00001eb214510.Zm00001eb308420.Zm00001eb406840.Zm00001eb042520.Zm00001eb190110.Zm00001eb355850.Zm00001eb246340.Zm00001eb212250	isopentenyl diphosphate biosynthetic process.isopentenyl diphosphate metabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.lipid metabolic process.glyceraldehyde-3-phosphate metabolic process.aldehyde metabolic process.phospholipid biosynthetic process.phospholipid metabolic process.organophosphate biosynthetic process.metabolic process
C5	Zm00001eb034740	Known	extrinsic component of membrane.photosystem II oxygen evolving complex.chloroplast thylakoid lumen.response to stimulus.regulation of primary metabolic process.macromolecule biosynthetic process.nucleic acid metabolic process.photosynthesis.Unknown.calcium ion binding.Unknown.animal organ development
C5	Zm00001eb186090	Zm00001eb352880.Zm00001eb261910.Zm00001eb336410.Zm00001eb246820.Zm00001eb118450	nucleic acid metabolic process.nucleobase-containing compound metabolic process.response to stimulus
C5	Zm00001eb038720	Known	rRNA processing.plastid transcription.multicellular organism development.chloroplast relocation.biological regulation.starch binding.Unknown.chloroplast stroma.RNA endonuclease activity.chloroplast mRNA processing.metabolic process.chloroplast.chloroplast rRNA processing.RNA binding.RNA nuclease activity.mRNA modification.thylakoid membrane organization
C5	Zm00001eb155120	Zm00001eb415360.Zm00001eb219720.Zm00001eb042970.Zm00001eb315060	
C5	Zm00001eb331710	Zm00001eb374690.Zm00001eb289460	
C5	Zm00001eb111120	Zm00001eb111130.Zm00001eb372500.Zm00001eb336810.Zm00001eb401800.Zm00001eb380200	
C5	Zm00001eb287860	Known	quinone biosynthetic process.1-deoxy-D-xylulose 5-phosphate biosynthetic process.organic acid metabolic process.thiamine pyrophosphate binding.1-deoxy-D-xylulose-5-phosphate synthase activity.Unknown.chloroplast stroma.thiamine biosynthetic process.terpenoid biosynthetic process.membrane.chlorophyll biosynthetic process
C5	Zm00001eb031870	Known	nucleus.chloroplast thylakoid membrane.serine-type endopeptidase activity.chloroplast thylakoid lumen.metabolic process.proteolysis.mRNA modification.photosystem II repair
C5	Zm00001eb214440	Known	positive regulation of transcription by RNA polymerase II.nucleus.protein dimerization activity.transcription by RNA polymerase II
C5	Zm00001eb339080	Zm00001eb064450.Zm00001eb326420.Zm00001eb249190.Zm00001eb012040.Zm00001eb140930.Zm00001eb396330	
C5	Zm00001eb051000	Zm00001eb039850.Zm00001eb013020.Zm00001eb227340.Zm00001eb271820	photosystem II assembly.rRNA processing.rRNA metabolic process.protein-containing complex assembly.protein-containing complex organization.intracellular membraneless organelle.membraneless organelle.positive regulation of cellular process.cellular component assembly.positive regulation of biological process
C5	Zm00001eb049630	Known	photosynthesis, light harvesting in photosystem II.photosystem II.response to low light intensity stimulus.response to blue light.photosystem I.Golgi apparatus.Unknown.plastoglobule.positive regulation of reactive oxygen species biosynthetic process.response to far red light.chlorophyll binding.plasma membrane.response to high light intensity.response to cold.vacuolar membrane.chloroplast envelope.cellular response to abscisic acid stimulus.response to desiccation.pigment binding.response to red light.metal ion binding.protein domain specific binding.PSII associated light-harvesting complex II.Unknown.photosynthesis, light harvesting in photosystem I.regulation of stomatal closure.membrane
C5	Zm00001eb336810	Known	membrane.purine ribonucleoside catabolic process.plant-type vacuole.apoplast.xenobiotic transmembrane transport.plasma membrane.chlorophyll catabolite transmembrane transporter activity.systemic acquired resistance.purine ribonucleotide catabolic process.purine ribonucleoside triphosphate catabolic process.ABC-type glutathione S-conjugate transporter activity.xenobiotic transport.plasmodesma.Unknown.ATP binding.ABC-type xenobiotic transporter activity.salicylic acid biosynthetic process.ATP metabolic process.vacuolar membrane
C5	Zm00001eb135780	Zm00001eb134470.Zm00001eb192690.Zm00001eb393840	
C5	Zm00001eb110540	Zm00001eb162030.Zm00001eb295030.Zm00001eb179310.Zm00001eb422860	
C5	Zm00001eb271080	Known	primary metabolic process.glycolipid binding.cytosol.response to salt stress.plasma membrane.Golgi organization.calcium ion transport.glycolipid transport.glycolipid transfer activity
C5	Zm00001eb335140	Zm00001eb355290.Zm00001eb020350	
C5	Zm00001eb250760	Known	regulation of DNA-templated transcription.nucleus.response to stimulus.metabolic process.leaf development.flower development.DNA-templated transcription.DNA binding.animal organ development
C5	Zm00001eb042970	Known	embryo development.glucose-6-phosphate transmembrane transporter activity.phenylpropanoid biosynthetic process.triose phosphate transmembrane transport.pollen maturation.response to karrikin.triose-phosphate:phosphate antiporter activity.response to glucose.purine nucleobase transport.chloroplast membrane.plasma membrane.plastid inner membrane.glucose-6-phosphate transport.anthocyanin-containing compound biosynthetic process.photosynthesis.glucose catabolic process.response to nematode.regulation of photosynthesis.lipid droplet organization.mitochondrion.response to sucrose.phosphoglycerate transmembrane transport.embryo sac development.vacuole organization.phosphoenolpyruvate:phosphate antiporter activity.Unknown.phosphoglycerate transmembrane transporter activity.Unknown.phosphate ion transmembrane transport.phosphoenolpyruvate transmembrane transport.membrane
C5	Zm00001eb220120	Zm00001eb218710.Zm00001eb073360.Zm00001eb397720.Zm00001eb422860.Zm00001eb400160.Zm00001eb111910	primary metabolic process.carbohydrate derivative transport.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.transcription factor binding.molecular_function
C5	Zm00001eb133940	Zm00001eb393290.Zm00001eb267390	
C5	Zm00001eb409190	Known	rRNA processing.negative regulation of catalytic activity.anatomical structure formation involved in morphogenesis.positive regulation of catalytic activity.animal organ morphogenesis.leaf morphogenesis.thylakoid membrane organization.electron transfer activity.positive regulation of DNA-templated transcription.glycerol ether metabolic process.cell differentiation.protein-disulfide reductase activity.thioredoxin-disulfide reductase (NADPH) activity.response to cold.protein-disulfide reductase [NAD(P)H] activity.electron transport chain.glucose catabolic process.cellular response to hydrogen peroxide.cell redox homeostasis.chloroplast thylakoid membrane.chloroplast stroma.maltose metabolic process.hydrogen peroxide catabolic process.enzyme activator activity.indoleacetic acid biosynthetic process.stromule.regulation of carbohydrate metabolic process.photorespiration.starch biosynthetic process.cell wall.chloroplast envelope.L-tryptophan catabolic process.NADPH regeneration.defense response to bacterium.photosystem II assembly.oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor.pentose-phosphate shunt.apoplast
C5	Zm00001eb377790	Known	rRNA processing.membrane.vegetative to reproductive phase transition of meristem.vacuole.positive regulation of DNA-templated transcription.plant ovule development.metabolic process.iron-sulfur cluster assembly.chloroplast.embryo development ending in seed dormancy.RNA binding.amidophosphoribosyltransferase activity.proton-transporting V-type ATPase, V0 domain.proton transmembrane transporter activity.thylakoid membrane organization
C5	Zm00001eb037280	Known	FK506 binding.rRNA processing.regulation of biological process.chloroplast thylakoid lumen.response to stimulus.peptidyl-prolyl cis-trans isomerase activity.NADPH regeneration.chloroplast stroma.photosystem II assembly.protein peptidyl-prolyl isomerization.protein folding.pentose-phosphate shunt.endoplasmic reticulum membrane.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.glucose catabolic process.thylakoid membrane organization
C5	Zm00001eb246160	Zm00001eb334790.Zm00001eb321700.Zm00001eb150810.Zm00001eb115290.Zm00001eb144250.Zm00001eb190360.Zm00001eb008730	plastid organization.organelle organization.chloroplast organization.cellular component assembly.embryo development.macromolecule metabolic process.RNA metabolic process.cellular component organization.cellular component organization or biogenesis.nucleic acid metabolic process
C5	Zm00001eb362630	Zm00001eb390710.Zm00001eb002390.Zm00001eb377410.Zm00001eb015500.Zm00001eb377390.Zm00001eb395430.Zm00001eb164310	nodulation.plasmodesma.anchoring junction.cell-cell junction.cell junction.cellular anatomical structure.cellular_component.biological_process.sequence-specific DNA binding.DNA-binding transcription factor activity
C5	Zm00001eb123660	Zm00001eb050990.Zm00001eb097080.Zm00001eb158490.Zm00001eb164310.Zm00001eb410380	
C5	Zm00001eb089970	Zm00001eb277960.Zm00001eb080680.Zm00001eb362300.Zm00001eb364480	
C5	Zm00001eb171820	Zm00001eb019890.Zm00001eb167660.Zm00001eb413030.Zm00001eb035440	
C5	Zm00001eb002820	Known	nucleotide binding.ubiquitin-protein transferase activity.nucleus.cellular process.cellular component organization.chloroplast.embryo development ending in seed dormancy.protein ubiquitination.regulation of cellular process.nucleic acid binding
C5	Zm00001eb315880	Known	unfolded protein binding.protein metabolic process.response to salt stress.plasma membrane.response to heat.chloroplast organization.metabolic process.response to water deprivation.protein folding.Unknown.plant ovule development.de-etiolation.mitochondrion.regulation of biological process.response to chlorate.chloroplast stroma.chloroplast envelope.cell wall.ATP binding.vacuolar membrane
C5	Zm00001eb397620	Zm00001eb080090	
C5	Zm00001eb269960	Known	anaphase-promoting complex.regulation of biological process.metal ion transport.zinc ion binding.plasma membrane.protein ubiquitination.membrane.monoatomic ion homeostasis
C5	Zm00001eb053260	Zm00001eb208800.Zm00001eb221180.Zm00001eb134470	
C5	Zm00001eb436290		
C5	Zm00001eb322850	Zm00001eb215070.Zm00001eb028550.Zm00001eb424280.Zm00001eb001840.Zm00001eb174010.Zm00001eb054380	chloroplast stroma.plastid stroma.macromolecule biosynthetic process.translation.cellular component organization or biogenesis.isopentenyl diphosphate biosynthetic process.isopentenyl diphosphate metabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.glyceraldehyde-3-phosphate metabolic process.biosynthetic process
C5	Zm00001eb424430	Known	Group I intron splicing.plastid stroma.chloroplast.RNA binding.Group II intron splicing
C5	Zm00001eb349130	Known	haloalkane dehalogenase activity.rRNA processing.chloroplast envelope.glucosinolate biosynthetic process.chlorophyll metabolic process.positive regulation of catalytic activity.lipid metabolic process.response to stimulus.chloroplast thylakoid.photosystem II assembly.plastid organization.Unknown.chloride peroxidase activity.transport.myo-inositol hexakisphosphate biosynthetic process.chlorophyllase activity
C5	Zm00001eb207130	Zm00001eb346800.Zm00001eb251520.Zm00001eb106430.Zm00001eb280560.Zm00001eb336580.Zm00001eb168100.Zm00001eb179680	chloroplast thylakoid membrane.plastid thylakoid membrane.photosynthetic membrane.thylakoid membrane.outer membrane.organelle outer membrane.plastid membrane.membrane protein complex.bounding membrane of organelle.organelle membrane
C5	Zm00001eb177930	Zm00001eb076870.Zm00001eb039850.Zm00001eb217230	
C5	Zm00001eb017730	Zm00001eb278510.Zm00001eb296300.Zm00001eb071800.Zm00001eb332650.Zm00001eb334790.Zm00001eb429350.Zm00001eb349130.Zm00001eb179140	rRNA processing.rRNA metabolic process.peroxidase activity.oxidoreductase activity, acting on peroxide as acceptor.oxidoreductase activity.chlorophyll metabolic process.RNA processing.porphyrin-containing compound metabolic process.tetrapyrrole metabolic process.cellular process
C5	Zm00001eb338660	Known	xenobiotic transmembrane transport.starch biosynthetic process.glucosinolate biosynthetic process.ATPase-coupled transmembrane transporter activity.purine ribonucleoside catabolic process.purine ribonucleotide catabolic process.plasma membrane.glycoside biosynthetic process.maltose metabolic process.purine ribonucleoside triphosphate catabolic process.xenobiotic transport.ATP binding.chloroplast.ATP metabolic process.membrane
C5	Zm00001eb238180	Zm00001eb238170.Zm00001eb346280.Zm00001eb042520.Zm00001eb312420.Zm00001eb260140.Zm00001eb280560.Zm00001eb168100.Zm00001eb015950	generation of precursor metabolites and energy.cellular component assembly.photosystem II assembly.cellular component organization.macromolecule metabolic process.cellular component organization or biogenesis.rRNA processing.rRNA metabolic process.protein-containing complex assembly.protein-containing complex organization
C5	Zm00001eb347110	Known	primary metabolic process.mitochondrion.Unknown.peroxisome.chloroplast.mitochondrial fission.anatomical structure morphogenesis.peroxisome fission.kinase activity.membrane
C5	Zm00001eb146510	Known	rRNA processing.post-embryonic animal morphogenesis.anatomical structure formation involved in morphogenesis.positive regulation of catalytic activity.photosystem II.response to karrikin.animal organ development.thylakoid membrane organization.transmembrane transporter activity.chlorophyll binding.xanthophyll binding.nonphotochemical quenching.stomatal complex morphogenesis.maltose metabolic process.starch biosynthetic process.photosystem II assembly.cysteine biosynthetic process.PSII associated light-harvesting complex II.protein domain specific binding.transmembrane transport.membrane
C5	Zm00001eb021000	Zm00001eb082070	
C5	Zm00001eb158490	Known	amino acid transport.ATP transport.cellular process.chloroplast membrane.plasma membrane.amine transport.ADP transport.ATP binding.transmembrane transport.ATP:ADP antiporter activity.membrane
C5	Zm00001eb268360	Known	response to cadmium ion.anatomical structure formation involved in morphogenesis.animal organ morphogenesis.chloroplast thylakoid lumen.leaf morphogenesis.response to blue light.plastid organization.photosynthetic electron transport in photosystem I.anthocyanin accumulation in tissues in response to UV light.copper ion homeostasis.cell wall organization.copper ion binding.Unknown.protein metabolic process.electron transfer activity.response to far red light.positive regulation of DNA-templated transcription.response to high light intensity.glucose catabolic process.intracellular monoatomic cation homeostasis.cellular response to hydrogen peroxide.polysaccharide biosynthetic process.chloroplast thylakoid membrane.response to sucrose.chloroplast stroma.regulation of hormone levels.hydrogen peroxide catabolic process.gene expression.root hair elongation.negative regulation of translation.multidimensional cell growth.epidermal cell differentiation.response to red light.metal ion transport.cell tip growth.NADPH regeneration.Unknown.cysteine biosynthetic process.response to copper ion.pentose-phosphate shunt.regulation of proton transport
C5	Zm00001eb417610	Known	regulation of DNA-templated transcription.Unknown.negative regulation of photomorphogenesis.reproductive structure development.DNA-templated transcription.regulation of seed growth.negative regulation of seed germination.monocarboxylic acid metabolic process.membrane.heme biosynthetic process.identical protein binding.circadian rhythm.gibberellin biosynthetic process.seed germination.de-etiolation.protein dimerization activity.gibberellic acid mediated signaling pathway.nucleus.red, far-red light phototransduction.positive regulation of anthocyanin metabolic process.reproductive process.phytochrome binding.red light signaling pathway.chlorophyll biosynthetic process.negative gravitropism.regulation of phenylpropanoid metabolic process
C5	Zm00001eb127770	Known	hormone-mediated signaling pathway.intramolecular transferase activity.RNA metabolic process.biosynthetic process.developmental process.response to stress
C5	Zm00001eb110100	Zm00001eb028550.Zm00001eb201740.Zm00001eb227310.Zm00001eb298940.Zm00001eb215070.Zm00001eb051040.Zm00001eb001640	rRNA binding.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.photosystem I assembly.macromolecule metabolic process.chloroplast stroma.plastid stroma
C5	Zm00001eb400050	Zm00001eb017170.Zm00001eb349130.Zm00001eb042990.Zm00001eb108230.Zm00001eb160780	
C5	Zm00001eb425060	Zm00001eb425050.Zm00001eb056960	
C5	Zm00001eb034710	Known	mitochondrion.ferric iron binding.mitochondrion organization.aerobic respiration.ferroxidase activity.iron incorporation into metallo-sulfur cluster.2 iron, 2 sulfur cluster binding.intracellular iron ion homeostasis.iron chaperone activity.chloroplast.cellular response to oxidative stress.ferrous iron binding.response to hydrogen peroxide
C5	Zm00001eb359280	Known	biological regulation.photosystem II.biosynthetic process.nucleic acid metabolic process.photosynthesis.Unknown.calcium ion binding.membrane
C5	Zm00001eb323570	Zm00001eb115290.Zm00001eb008730.Zm00001eb011760.Zm00001eb334790.Zm00001eb279790.Zm00001eb144250.Zm00001eb150810.Zm00001eb008910.Zm00001eb371640	cellular component organization.cellular component organization or biogenesis.embryo development.chloroplast stroma.plastid stroma.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component
C5	Zm00001eb072670	Known	ligase activity.fatty acid beta-oxidation.zinc ion binding.proteolysis.protein phosphorylation.ketone metabolic process.kinase activity.membrane
C5	Zm00001eb296300	Known	chloroplast envelope.transmembrane transporter activity.Unknown.regulation of metabolic process.lipid metabolic process.secondary active transmembrane transporter activity.transport.membrane
C5	Zm00001eb043460	Zm00001eb012590.Zm00001eb422860.Zm00001eb223100.Zm00001eb331540	
C5	Zm00001eb159720	Known	galactose catabolic process.response to cadmium ion.phosphoglucomutase activity.glucose metabolic process.biological regulation.plasma membrane.Unknown.glycoside biosynthetic process.response to cold.nucleus.chloroplast stroma.gametophyte development.stromule.chloroplast envelope.starch biosynthetic process.magnesium ion binding.detection of gravity.trehalose biosynthetic process.apoplast
C5	Zm00001eb397630	Known	xylem development.regulation of DNA-templated transcription.nucleus.zinc ion binding.cell wall macromolecule metabolic process.cellular component organization or biogenesis.DNA-templated transcription.DNA binding
C5	Zm00001eb385730	Known	endoplasmic reticulum.response to auxin.response to brassinosteroid.anatomical structure formation involved in morphogenesis.alcohol metabolic process.heme binding.unidimensional cell growth.electron transfer activity.regulation of growth.ketone metabolic process.response to alcohol.brassinosteroid metabolic process.steroid hydroxylase activity.response to light stimulus.Unknown.oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen.iron ion binding.brassinosteroid homeostasis.membrane
C5	Zm00001eb167660	Known	response to oxidative stress.cellular oxidant detoxification.purine ribonucleotide catabolic process.GTP metabolic process.purine ribonucleoside triphosphate catabolic process.GTPase activity.Unknown.ribosome binding.hydrogen peroxide catabolic process.chloroplast.proteolysis.response to abiotic stimulus.endocytosis.guanosine-containing compound catabolic process.GTP binding
C5	Zm00001eb150120	Zm00001eb150110.Zm00001eb231570.Zm00001eb248560.Zm00001eb050990.Zm00001eb164310.Zm00001eb181650.Zm00001eb316720	signal transduction.regulation of cellular process.cellular process.biological_process.response to stimulus.regulation of biological process.cellular_component.sequence-specific DNA binding.biological regulation.DNA-binding transcription factor activity
C5	Zm00001eb110530	Zm00001eb073360.Zm00001eb185330.Zm00001eb233000.Zm00001eb413100.Zm00001eb142950.Zm00001eb000480.Zm00001eb360160	developmental process.regulation of cellular process.cellular process.biological_process.anatomical structure development.regulation of biological process.establishment of protein localization to vacuole.protein targeting to vacuole.protein localization to vacuole.cellular anatomical structure
C5	Zm00001eb065570	Known	cell plate.post-embryonic animal morphogenesis.exocyst.response to cadmium ion.Golgi organization.extracellular exosome.chloroplast.response to temperature stimulus.DNA replication.response to salt stress.plasma membrane.protein localization involved in auxin polar transport.vesicle docking involved in exocytosis.hyperosmotic response.Unknown.lateral root morphogenesis.guanyl-nucleotide exchange factor activity.DNA binding.nucleus.Golgi vesicle transport.cell plate assembly.glycolytic process.pollen tube tip.plasmodesma.root hair elongation.cytosol.protein targeting to vacuole.RNA-templated DNA biosynthetic process.monopolar cell growth.water transport.mucilage biosynthetic process involved in seed coat development.extracellular membrane-bounded organelle
C5	Zm00001eb360940	Known	post-translational protein modification.cytoplasm.protein autophosphorylation.metabolic process.protein serine/threonine kinase activity.ATP binding.response to stress.signal transduction.multicellular organismal process.membrane
C5	Zm00001eb081060	Known	rRNA processing.heat shock protein binding.Unknown.chloroplast thylakoid membrane.response to stimulus.chloroplast stroma.unfolded protein binding.plastid organization.photosystem II assembly.multicellular organismal process.pentose-phosphate shunt.protein disulfide isomerase activity.photosystem II repair.membrane
C5	Zm00001eb226060	Known	rRNA processing.glucosinolate biosynthetic process.anatomical structure formation involved in morphogenesis.animal organ morphogenesis.chloroplast thylakoid lumen.leaf morphogenesis.photosynthetic electron transport in photosystem I.plastoglobule.chloroplast photosystem II.Unknown.thylakoid membrane organization.positive regulation of DNA-templated transcription.response to carbohydrate.glycoside biosynthetic process.cell differentiation.response to chitin.photoinhibition.Unknown.response to cold.calcium ion binding.intracellular monoatomic cation homeostasis.oxygen evolving activity.plastid transcription.extrinsic component of membrane.chloroplast relocation.regulation of hydrogen peroxide metabolic process.regulation of plant-type hypersensitive response.photosystem II oxygen evolving complex.protein targeting to membrane.defense response to fungus.negative regulation of defense response.jasmonic acid mediated signaling pathway.MAPK cascade.detection of biotic stimulus.poly(U) RNA binding.Unknown.metal ion transport.photosystem II stabilization.defense response to bacterium.photosystem II assembly.cysteine biosynthetic process.salicylic acid biosynthetic process.regulation of response to biotic stimulus.systemic acquired resistance, salicylic acid mediated signaling pathway.apoplast.membrane
C5	Zm00001eb323210	Zm00001eb113360.Zm00001eb231720.Zm00001eb295930.Zm00001eb192770	nucleus
C5	Zm00001eb060190	Known	extracellular region.protein metabolic process.rRNA N-glycosylase activity.Unknown.Unknown.defense response.gene expression.negative regulation of translation
C5	Zm00001eb411600	Known	extracellular region.cell wall.serine-type endopeptidase activity.proteolysis.nucleic acid binding.DNA-templated transcription.membrane
C5	Zm00001eb074090	Known	immune response.primary metabolic process.membrane.Unknown.aldehyde metabolic process.mechanosensitive monoatomic ion channel activity.cell development.plasma membrane.biosynthetic process.positive regulation of biological process.Unknown.monoatomic ion transmembrane transport.regulation of biosynthetic process.response to external stimulus.regulation of nervous system process.nucleus.response to stress.regulation of immune system process.plasmodesma.cellular response to stimulus.monoatomic anion transport.multicellular organism development.response to biotic stimulus.vacuolar membrane
C5	Zm00001eb375340	Zm00001eb295930.Zm00001eb008980.Zm00001eb340640.Zm00001eb222370.Zm00001eb029450.Zm00001eb113360	
C5	Zm00001eb331720	Zm00001eb374690.Zm00001eb289460	
C5	Zm00001eb164390	Known	chloroplast envelope.leaf senescence.cell wall.response to cold.nucleus.ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity.chloroplast thylakoid membrane.positive regulation of catalytic activity.Unknown.defense response to bacterium.response to light stimulus.ATP binding.Unknown.response to jasmonic acid.apoplast.plastoglobule.stromule
C5	Zm00001eb091120	Zm00001eb110810.Zm00001eb183770.Zm00001eb047510.Zm00001eb052690	translational elongation.translation elongation factor activity.macromolecule biosynthetic process.translation factor activity
C5	Zm00001eb165640	Zm00001eb165630.Zm00001eb127150.Zm00001eb202620.Zm00001eb017630.Zm00001eb432560	
C5	Zm00001eb052950	Known	ligase activity.ubiquitin protein ligase activity.proteasome-mediated ubiquitin-dependent protein catabolic process.systemic acquired resistance.Unknown.response to salicylic acid.zinc ion binding.regulation of salicylic acid metabolic process.nuclear speck.cellular response to phosphate starvation.protein ubiquitination.defense response to bacterium.plant-type hypersensitive response.salicylic acid biosynthetic process.fatty acid catabolic process.response to nitrate.response to benzoic acid.phosphate ion transport
C5	Zm00001eb226780	Zm00001eb332450.Zm00001eb291360.Zm00001eb207370.Zm00001eb181530	cysteine metabolic process.cysteine biosynthetic process.serine family amino acid biosynthetic process.sulfur amino acid biosynthetic process.sulfur amino acid metabolic process.serine family amino acid metabolic process.apoplast.alpha-amino acid biosynthetic process.amino acid biosynthetic process.alpha-amino acid metabolic process
C5	Zm00001eb166100	Known	primary metabolic process.vegetative to reproductive phase transition of meristem.hydroquinone:oxygen oxidoreductase activity.reproductive process.Unknown.lignin catabolic process.response to copper ion.copper ion binding.apoplast.L-ascorbate oxidase activity
C5	Zm00001eb292700	Known	Unknown.first spliceosomal transesterification activity.protein dephosphorylation.U2 snRNP.response to glucose.miRNA processing.precatalytic spliceosome.mRNA splicing, via spliceosome.catabolic process.siRNA processing.mRNA binding.catalytic step 2 spliceosome.mRNA cleavage and polyadenylation specificity factor complex.Unknown.RES complex.Unknown
C5	Zm00001eb356220	Zm00001eb114790.Zm00001eb344150.Zm00001eb234680.Zm00001eb195160.Zm00001eb257420.Zm00001eb039630.Zm00001eb371320.Zm00001eb300750	developmental process.RNA metabolic process.cellular component organization.cellular component organization or biogenesis.nucleic acid metabolic process.cellular developmental process.nucleobase-containing compound metabolic process.primary metabolic process.regulation of cellular process.metabolic process
C5	Zm00001eb183770	Known	chloroplast envelope.apoplast.purine ribonucleotide catabolic process.nucleoid.chloroplast thylakoid membrane.chloroplast stroma.GTP metabolic process.purine ribonucleoside triphosphate catabolic process.GTPase activity.very long-chain fatty acid metabolic process.nucleolus.cuticle development.translation elongation factor activity.translational elongation.guanosine-containing compound catabolic process.GTP binding
C5	Zm00001eb111130	Known	primary metabolic process.biological regulation.Unknown.macromolecule metabolic process.metal ion binding.catalytic activity.vesicle-mediated transport.membrane
C5	Zm00001eb030960	Known	primary metabolic process.mitochondrion.Unknown.oxidoreductase activity.plasma membrane.cell surface receptor signaling pathway.protein serine/threonine kinase activity.chloroplast.Unknown.small molecule metabolic process.Unknown
C5	Zm00001eb352550	Known	Unknown.cytosol.mitochondrion.nucleus.plasma membrane.chloroplast stroma.ATP binding.thylakoid.alcohol metabolic process.glycolytic process.apoplast.phosphoglycerate kinase activity.glucose catabolic process
C5	Zm00001eb395430	Known	embryo development.regulation of DNA-templated transcription.sequence-specific DNA binding.nucleus.metabolic process.anatomical structure morphogenesis.DNA-binding transcription factor activity.DNA-templated transcription.animal organ development
C5	Zm00001eb146880	Known	mitochondrion.fatty acid beta-oxidation.purine nucleobase metabolic process.peroxisome organization.urate catabolic process.peroxisome.biosynthetic process.nodulation.urate oxidase activity
C5	Zm00001eb234990	Known	response to auxin.regulation of biological process.cellular process.developmental process.binding.multicellular organismal process
C5	Zm00001eb379950	Known	anatomical structure formation involved in morphogenesis.animal organ morphogenesis.leaf morphogenesis.DNA-binding transcription factor activity.DNA-templated transcription.Unknown.positive regulation of DNA-templated transcription.response to bacterium.cell differentiation.membrane.regulation of hydrogen peroxide metabolic process.nucleus.regulation of plant-type hypersensitive response.protein targeting to membrane.negative regulation of defense response.jasmonic acid mediated signaling pathway.MAPK cascade.Unknown.zinc ion binding.systemic acquired resistance, salicylic acid mediated signaling pathway
C5	Zm00001eb156090	Zm00001eb156080.Zm00001eb019920.Zm00001eb146510.Zm00001eb194350	response to abiotic stimulus
C5	Zm00001eb135690	Zm00001eb135680.Zm00001eb370770.Zm00001eb138370.Zm00001eb280600.Zm00001eb292690.Zm00001eb118900.Zm00001eb158260.Zm00001eb426530	regulation of biosynthetic process.regulation of primary metabolic process.DNA-templated transcription.intracellular organelle.organelle.regulation of metabolic process.biological regulation.RNA biosynthetic process.nucleic acid biosynthetic process.nucleobase-containing compound biosynthetic process
C5	Zm00001eb197710	Known	FMN binding.cellular process.nucleus.oxidoreductase activity.localization.response to stimulus.regulation of cellular process.Unknown.membrane
C5	Zm00001eb221640	Zm00001eb220830.Zm00001eb220820.Zm00001eb034740	
